#Dybde	Densitet
1.48      331
2.75      346
4.42      376
6.05      410
7.70      426
9.35      466
11.00      487
12.65      492
14.30      524
15.95      534
17.60      547
19.25      560
20.90      571
22.55      580
24.20      594
25.85      607
27.50      619
29.15      627
30.80      638
32.45      648
34.10      656
35.75      664
37.40      677
39.05      682
40.70      695
42.35      699
44.00      709
45.65      717
47.30      726
48.95      734
50.60      739
52.25      748
53.90      753
55.55      759
57.20      764
58.85      777
60.50      776
62.15      784
63.80      792
65.45      798
67.09      807
68.75      813
70.40      814
72.05      821
73.70      827
75.35      834
77.00      838
78.62      842
80.30      848
81.95      849
83.60      856
85.25      857
86.90      859
88.55      862
90.20      867
91.85      866
93.50      869
95.15      871
96.80      876
98.47      877
100.10      876
101.75      876
103.40      876
105.05      880
106.72      875
108.35      887
110.00      887
111.65      888
113.30      891
114.95      889
116.60      892
118.25      890
119.90      898
121.55      892
123.20      892
124.85      896
126.50      886
128.15      896
129.80      899
131.45      898
133.10      898
134.75      892
136.40      895
138.05      902
140.50      892
141.50      903
