#Depth Density
0.5 347
1.5 394
2.5 411
3.5 436
4.5 460
5.5 469
6.5 485
7.5 502
8.5 513
9.5 522
10.5 532
11.5 554
12.5 563
13.5 571
14.5 578
15.5 586
16.5 598
17.5 601
18.5 605
19.5 611
20.5 613
21.5 617
22.5 619
23 621
24.5 623
25.5 627
26.5 634
27.5 641
28.5 647
29.5 651
32 664
33.5 670
34.5 677
35.5 686
36.5 691
37.5 698
38.5 699
39.5 704
40.5 712
41.5 717
42.5 721
43.5 725
44.5 727
45.5 728
46.5 731
47.5 734
48.5 737
49.5 744
50.5 747
51.5 750
52.5 758
53.5 760
54.5 760
55.5 766
56.5 769
57.5 774
58.5 776
59.5 780
60.5 785
61.5 792
62.5 796
63.5 799
64.5 803
67.5 810
68.5 815
69.5 818
70.5 821
71.5 825
72.5 828
73.5 834.7
74.5 839
75.5 846.5
76.5 849.9
77.5 850
78.5 853
79.5 856
80.5 857.5
81.5 861
82.5 864
83.5 866
84.5 868.5
85.5 871
86.5 873.5
87.5 874.6
88.5 877
89.5 879.2
90.5 877.8
91.5 880.7
92.5 881
93.5 882
94.5 883.8
95.5 884.8
96.5 886
97.5 887.4
98.5 888
99.5 891
103.5 893
105.5 894
108.5 894.7
109.5 895.4
110.5 896.2
111.5 897.1
112.5 899.1
113.5 899.8
114.5 900.6
115.5 900.7
116.5 901
117.5 901.6
120.5 902.5
123.5 904.5
126.5 906
130.5 907
132.5 908.3
133.5 908.6
135.5 909
136.5 909.5
139.5 909.8
141.5 911
150.5 911.7
151.5 912
153.5 912.3
154.5 912.7
161.5 913.9
162.5 914
166.5 914.1
167.5 914.2
180.5 914.28
181.5 914.35
184.5 914.4
187.5 914.5
192.5 914.7
197.5 914.9
213.5 915.1
214.5 915.3
215.5 915.6
216.5 915.7
218.5 915.4
221.5 915.2
226.5 915.5
227.8 915.6
228.5 916.1
229.5 915.7
231.5 915.7
234.5 915.8
238.5 916.2
248.5 915.6
255.5 916.8
259.5 916.3
270.5 916.5
282.5 916.8
